"","AN_BR1_4","AN_BR1_5","AN_BR1_6","AN_BR1_8","AN_BR2_4","AN_BR2_5","AN_BR2_6","AN_BR2_8","AN_BR3_4","AN_BR3_5","AN_BR3_6","AN_BR3_8","BB_BR1_4","BB_BR1_5","BB_BR1_6","BB_BR1_8","BB_BR2_4","BB_BR2_5","BB_BR2_6","BB_BR2_8","BB_BR3_4","BB_BR3_5","BB_BR3_6","BB_BR3_8","ML_BR1_4","ML_BR1_5","ML_BR1_6","ML_BR1_8","ML_BR2_4","ML_BR2_5","ML_BR2_6","ML_BR2_8","ML_BR3_4","ML_BR3_5","ML_BR3_6","ML_BR3_8"
"AN_RF_S2_1_4_S343_L004_1575",5.79988385697678,5.56604974945439,4.82523394404843,7.59144254295487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1576",26.0786393745434,29.4036297752333,27.0078584462009,49.6116407628762,27.5457970077438,29.0925420113768,23.8879655224973,18.5285979102288,30.0692326046642,33.5304018690183,28.9416889400908,24.3291903144801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1583",5.59881772859398,3.16962366434453,2.91016343539338,4.80123527833846,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_162",8.80688459739953,8.78005281355456,7.59789760400067,9.64714426253966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1634",18.3030694540266,19.725447555886,20.9440335534374,26.8674073678468,0,1.921144085998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_163",25.6252148082584,26.3258914660591,18.0044120951894,30.4541938026629,20.1743254857266,19.6538098896954,18.4192307604914,20.5707247302071,30.9714012458064,27.4585843478197,27.5606991755675,27.518445905795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1651",7.82066953857466,8.41878253928465,7.81151367852218,11.7524431945655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_166",14.1963459187154,17.1896323892476,10.0111955995164,16.1189866269573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1674",9.02317719681789,0,0,3.10650116860197,4.97936454069269,6.577876146048,2.23318026781297,6.43614531516992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1681",10.8072596252894,4.03745178311096,5.01619395468174,7.23416798503322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1686",23.2232108542666,19.1970091917758,0,16.5326946827513,0,0,2.26877484162737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_168",54.4944326935801,37.9731573242242,53.5605081153841,49.9450650477752,0,2.33243319793693,0,1.94691554814798,24.6991274639121,10.03349538892,70.4843445668305,8.78138463986134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1694",11.0968492394317,5.93776609157999,4.92512671806665,12.5589238533725,2.82850581340016,2.71817789536457,2.77550941456718,2.78126034129888,1.9665775069817,2.17515064834299,3.634831331401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1697",10.666000654549,7.89131756360594,5.95635516070803,13.0904876285783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1698",19.9732497133716,17.3769906646532,12.8939264416911,23.9068599724911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1704",11.9078510350651,4.43338185904797,0,1.84197948824595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1710",14.8198211192387,12.2167269669519,10.6825830551213,15.4594400693309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1737",12.2536681446232,17.2190964629286,15.2331811544694,25.9899076010609,0,3.8807780676027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1755",5.9471429726198,5.08333794577275,4.46467371170304,6.86080935848124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1778",15.5046823386606,11.1235520805603,6.2057221372899,15.9321066752256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1779",16.9049104748694,12.9183579526115,9.83144307509566,14.3666556232093,1.99634270702414,1.94904832518419,1.88649749496805,5.23007064690969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1793",10.0173548153681,9.45291883869828,6.94046786315049,10.5153855044883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1794",6.92810497950726,3.42539391181874,1.70108887675248,4.16188959889465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_180",7.76511020845681,0,0,2.36867070292876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1816",16.8694392111276,18.3378578779538,11.0793070069329,17.7298924553827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1847",9.59228981182761,12.392270229868,10.5987966935768,15.2745074231463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1851",5.81595708127007,2.10266015164299,6.59661633636036,7.4051357343452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1853",25.2247364402194,30.46391695985,22.5118696322341,33.2063626247622,54.3335553581978,68.4799209310426,54.1560809019275,44.83300873842,44.812200692043,42.5332762147523,36.7223897383647,38.8582976195348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1861",20.2753548538468,37.2885198545129,22.0781859453305,38.1836671632806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1869",40.2993707607137,42.1951067940467,38.753184431263,81.7679200222568,0,0,0,0,29.3310996665302,37.6025148444235,23.8905544453426,23.0716967602352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1872",24.1157370271864,27.5092904526275,21.1330170278707,26.588048049605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1877",8.93302414724349,13.1075227769639,10.4971163145638,19.2694062875331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1882",40.5603226664959,30.7750192786784,33.3019637991562,39.604933973486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1907",9.47411795354695,8.00992231469952,8.38485945034431,9.36760387096886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1926",7.25912433177005,6.61587607338615,6.80054911491735,13.7146995674654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_1978",11.2867857456317,14.8835863369467,10.4538478017324,20.5837117012043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN_RF_S2_1_4_S343_L004_2007",14.7492829805836,3.83869056670028,10.14137682254,2.30255193028018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
