"","CB_BR1","GL_BR1","PB_BR1","SM_BR1","CB_BR2","GL_BR2","PB_BR2","SM_BR2","CB_BR3","GL_BR3","PB_BR3","SM_BR3","CB_TR1","CB_TR2","PB_TR1","PB_TR2","CB_TR3","CB_TR4","PB_TR3","PB_TR4","GL_TR1","GL_TR2","SM_TR1","SM_TR2","GL_TR3","GL_TR4","SM_TR3","SM_TR4"
"SM_GC_R1_1076",0,0,2.90336540243725,0,0,0,2.38394336459434,0,6.65780947981928,6.44799199904481,33.9442656304667,6.01070999034678,12.5670963979009,13.2057106497953,20.6832420266842,19.8341683264508,15.4658264270268,12.203941492813,19.7108432934973,21.8169613951525,10.4073662874565,11.775491323846,15.983052527023,16.6394711558081,10.3631680353369,8.77666611775119,13.4513030457729,15.8879199701072
"SM_GC_R1_1079",184.364716480776,152.840286693597,71.208766789494,111.739975235054,29.8353441950543,31.049827327973,19.4972018075681,33.0301083620278,775.429590471694,444.001973952135,343.42689312454,321.123217132804,378.993738525866,440.555920749789,401.409289557113,384.241002717687,407.510692973349,423.537978196251,419.069656527314,420.559803459302,340.424736554996,380.119211021823,347.773507511262,426.072724777764,367.345155277516,323.729545697795,346.635881249959,393.666951712458
"SM_GC_R1_1188",12.6934085650167,9.01101695724282,4.83665479135172,11.2015575680803,35.182734483888,44.3469108223715,20.3238043239784,34.4740347282259,0,0,0,0,27.7216293278979,42.3188878512433,37.7969620926977,29.2117653703523,30.7025150768125,51.2032263804049,36.2792742839791,27.1843607253073,28.3069602634753,27.9409231179218,26.7568064727147,29.2125952633894,26.0442591741196,26.5968359396315,30.1340364746923,29.5887848300869
"SM_GC_R1_1363",0,0,0,0,0,0,0,0,4.4995862480313,5.07766874125673,7.54000829623424,5.39245771532534,0,0,0,3.17577978905972,0,0,0,0,2.24148296063926,3.59523602190704,6.74100503030356,6.64383506785813,1.87352943015004,0,5.2293059828651,4.36803044364387
"SM_GC_R1_1395",0,0,0,0,0,2.79215790183549,4.23295486151329,1.71401259003229,0,0,0,0,12.5510037957548,12.4279092725265,16.7249509798624,16.4327010276867,14.2180790813227,15.7611448018203,19.5892465717463,13.9293032349524,16.6538773298871,17.6845980469031,14.3356109409861,18.5630637445234,16.6381297702218,15.3088740462524,15.9580322247639,14.8168714869895
"SM_GC_R1_1445",13.3509288860626,8.97469114864702,18.223417224498,11.6124382612401,10.1354468885532,17.4418707649551,25.5387836869525,11.6198953649558,3.73678552876746,3.9201791603825,5.49124610016942,4.03804253584795,12.4195932883534,10.1722774309884,19.4407612467709,17.4975334032173,16.8169315664201,9.92384337590315,21.3245335190953,16.0114793586931,22.4442929400034,21.7387143737468,21.6355219406944,24.2664232210248,17.4663802370426,18.162122914672,20.174588663827,22.2927929448592
"SM_GC_R1_1550",0,0,0,0,0,0,0,0,7.87421637158243,3.47556942131259,7.7739182657396,6.02188367131148,28.6432972021232,21.251655540112,27.0050802951535,29.4548933035604,28.8009009333803,21.5869616492484,26.3314924665986,28.4540390323039,20.6892026829764,25.6556897247952,21.3915190467081,25.7516311823338,20.7823089439237,20.7925107190795,21.3581882043098,23.3222713918868
"SM_GC_R1_1604",0,0,0,0,3.16200947047027,3.96487345628226,3.10770511546323,3.64330697453572,0,0,4.09391374005373,3.54242624068196,17.9642438754388,21.6243472528935,14.4688174349548,11.0458462741477,18.6895776902518,20.8548760675319,15.9884638031629,11.3853026328369,18.3538858002259,18.4597244623155,18.196255332985,21.7085508414007,16.8778507528918,16.0924824686695,17.4869538189259,16.7861875649514
"SM_GC_R1_1653",23.2868380984356,12.8767077609336,46.353489960415,33.1067969183934,26.7295860587961,26.4268807427295,26.3639086646867,25.5321360514292,4.98021530407775,9.36269476603372,9.13691996686108,6.94976622406217,5.0345236347998,6.70315568272934,5.14428892203327,5.92552488136857,6.95594799582202,7.38664160869338,6.62294469984271,6.2589263382148,5.59721124355418,5.51050204504,5.31105457778645,6.6731372766322,6.08151470015544,5.39153887135493,4.98888259611594,8.83613955853565
"SM_GC_R1_1785",0,0,3.26870276793397,0,2.96039138806386,3.99607448356583,6.42044173307154,3.26389847978261,0,0,0,0,5.74436021558581,4.05957289374344,11.8972534193522,12.2240012472909,5.6516597565453,2.49596326166324,13.1567172736458,10.4522258864338,7.79201393919443,10.1665890604128,7.50898805444358,8.05130589499279,7.6304676398369,7.64528587379315,7.17487879294276,7.33682959340765
"SM_GC_R1_1826",3.61511228098286,2.28787941611386,3.15900489518623,8.97229648940442,0,0,0,0,0,0,1.83496120370423,0,7.24498356095272,12.4266258653378,8.0308932641987,6.13756275577028,10.288094382468,9.9211966186638,7.38338292344955,8.01794939200251,9.09600323555214,8.17845110718458,10.0213717826315,10.0490714559891,6.75785208061116,8.48623291247596,7.88487008133072,8.41862826225901
"SM_GC_R1_18",0,0,0,0,0,0,0,0,0,0,4.15989102955435,2.65383103575126,6.41136733734795,4.57469052062312,13.2364099008892,12.473226928053,6.39604744666702,3.68677701724466,12.4510514849246,9.32339425580421,10.4243346395721,12.0515623512404,10.4074185221675,12.3520112887726,9.39256952395886,8.65288294148978,8.37936851582209,8.68594346901906
"SM_GC_R1_190",1.72133638702002,0,2.34798535483215,1.94004438686644,0,0,0,0,2.44657765396313,3.18735804130167,8.75432582653938,6.29572807094245,5.741926802019,5.79108418577593,8.74847540088322,7.31813508980219,6.97551068656835,7.96475849145604,8.40696166330012,7.37629368514929,8.33509187143168,10.8110494425452,8.30317915953824,10.1797240870197,7.72466637436336,8.16847675839515,7.6810029762815,8.51692703719534
"SM_GC_R1_2140",0,0,0,0,2.06556395300009,2.38721887199997,1.82172008041586,1.63917941019121,3.943964727058,2.55680020814206,4.70162915759338,3.62794241450753,8.56058874662197,9.71735428330248,9.00107676368282,7.51821075146667,9.64191659722968,11.1496985964722,7.97317218276483,7.28922142865188,8.17978352060253,9.57756684581208,8.82763502431197,9.48245662033119,8.40452192073932,8.53483234745108,8.54293583978135,8.59688560534182
"SM_GC_R1_2241",0,0,3.25140810823069,0,0,0,3.27492307787661,0,10.8292082485656,6.45662177620499,11.5503696971172,4.23196871617738,49.490999037488,30.2703873189055,105.09735498126,97.9749826607455,42.692709295554,16.5680727806833,89.9605194257636,98.6521175443427,39.6899913934129,58.2842353681228,31.8519017914425,41.7328959834231,37.6257806163924,30.9039063830203,28.7437188105727,30.4449256256352
"SM_GC_R1_2370",0,0,0,0,14.905600803593,9.18187120247625,6.96469431547831,9.44359224712056,3.01826814210755,0,3.47564043961781,3.32761088498465,10.7689537831941,13.2570042233277,8.96206977168451,7.3241918770779,11.1965159776629,14.5700773630954,8.59343786934883,8.85319188772079,8.58752922811493,9.95005948370384,9.04706997624601,11.2912003497404,8.44021907204858,8.65720476772434,9.96623206018279,10.4253580516816
"SM_GC_R1_2412",0,0,0,0,0,0,0,0,0,0,0,0,2.82027038756547,4.09841245079918,2.78857426790902,2.18766047937217,1.55113908383845,4.33390958916034,2.07472713733079,1.87936383287493,2.79191669156353,2.57224449307081,3.18327088869052,3.92308324778092,2.36867955041572,2.52935814342367,3.46380078976951,3.7343664053533
"SM_GC_R1_2422",1.67975911571505,0,1.99589865239809,2.03676876326678,0,0,0,0,0,0,1.96424631957526,0,8.15752636131693,8.0383874894717,14.6784721981605,11.7597250485718,10.8605706166236,7.80615017647534,13.0517311449573,10.8403738960533,11.9888726877859,13.1976453191782,13.3864049219584,15.0078151180092,10.8237164475901,10.0904134406588,12.9607543643343,13.0279728769527
