Contig	AN_BR1_4	AN_BR1_5	AN_BR1_6	AN_BR1_8	AN_BR2_4	AN_BR2_5	AN_BR2_6	AN_BR2_8	AN_BR3_4	AN_BR3_5	AN_BR3_6	AN_BR3_8	AN_TR1_4	AN_TR1_5	AN_TR1_6	AN_TR1_8	AN_TR2_4	AN_TR2_5	AN_TR2_6	AN_TR2_8	AN_TR3_4	AN_TR3_5	AN_TR3_6	AN_TR3_8	BB_TR1_4	BB_TR1_5	BB_TR1_6	BB_TR1_8	BB_TR2_4	BB_TR2_5	BB_TR2_6	BB_TR2_8	BB_TR3_4	BB_TR3_5	BB_TR3_6	BB_TR3_8	BB_BR1_4	BB_BR1_5	BB_BR1_6	BB_BR1_8	BB_BR2_4	BB_BR2_5	BB_BR2_6	BB_BR2_8	BB_BR3_4	BB_BR3_5	BB_BR3_6	BB_BR3_8	ML_BR1_4	ML_BR1_5	ML_BR1_6	ML_BR1_8	ML_BR2_4	ML_BR2_5	ML_BR2_6	ML_BR2_8	ML_BR3_4	ML_BR3_5	ML_BR3_6	ML_BR3_8	ML_TR1_4	ML_TR1_5	ML_TR1_6	ML_TR1_8	ML_TR2_4	ML_TR2_5	ML_TR2_6	ML_TR2_8	ML_TR3_4	ML_TR3_5	ML_TR3_6	ML_TR3_8
ML_TR1_6_S183_L004_107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	12	0	0	0	0	0	2903	2669	2985	2379	3863	3234	3542	2495	2670	2369	2539	2501
ML_TR1_6_S183_L004_1109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1414	2073	1488	619	1828	2416	2710	2155	2520	2253	1187	3165	12784	14055	15175	15301	15659	15346	19105	15010	13643	16955	14085	14597
ML_TR1_6_S183_L004_1118	0	2	0	1	0	0	2	1	0	0	0	0	0	0	0	0	1	2	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	435	936	514	298	98	154	69	67	516	659	305	614	5311	8206	7530	8743	5560	6517	10184	6632	5220	7905	8403	7390
ML_TR1_6_S183_L004_1134	1	0	1	0	3	1	1	0	0	1	0	0	2	1	0	1	2	1	0	5	4	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	143	4	2	251	268	936	301	27	105	12	8	1282	3065	4641	2828	2193	4870	1858	2367	1192	2488	1528	1934
ML_TR1_6_S183_L004_1153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	121	103	34	45	147	161	145	58	30	10	57	2785	5926	7648	5493	5527	6282	3300	3965	2995	3501	5065	3839
ML_TR1_6_S183_L004_1158	2	1	0	1	0	1	6	4	3	0	2	2	0	2	0	0	4	0	0	2	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	722	739	537	238	955	717	1044	683	698	966	398	735	92207	63797	56985	105330	62059	45814	166605	76745	101151	96473	126105	69156
ML_TR1_6_S183_L004_1208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	32	0	0	0	0	0	0	22	14	12	40	436	956	1107	922	479	923	883	780	317	740	652	678
ML_TR1_6_S183_L004_1260	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	4	0	0	0	0	0	0	2599	3566	3618	4542	2636	3847	5616	4100	2401	4280	3844	3454
ML_TR1_6_S183_L004_1301	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	37	3	3	2	3	6	1	33	113	73	90	5228	10583	12700	5379	8873	15582	6475	5785	4903	10314	5907	6039
ML_TR1_6_S183_L004_1308	1	0	0	1	0	0	0	2	0	0	0	0	0	0	5	2	6	5	2	0	2	1	4	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	492	811	420	262	431	335	600	386	297	455	146	262	429	779	800	713	778	868	836	624	548	615	610	691
ML_TR1_6_S183_L004_1354	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1281	2349	3022	1919	1186	1518	1419	2038	791	1306	1421	1278
ML_TR1_6_S183_L004_1379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	355	525	851	434	533	581	368	357	393	368	433	395
ML_TR1_6_S183_L004_1400	9	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1000	2456	3090	2185	1100	4397	1957	2169	1118	2366	1222	1651
ML_TR1_6_S183_L004_142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	185	203	94	988	867	1186	1171	1170	1042	563	1284	277	461	581	541	517	649	506	405	312	430	412	389
ML_TR1_6_S183_L004_1434	4	2	0	2	0	0	10	6	2	10	4	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46893	54681	37950	15931	56724	43133	44324	48175	37120	39870	21543	31929	16918	14650	15153	16286	16654	15805	20507	15840	11973	18547	19675	15216
ML_TR1_6_S183_L004_1457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	211	108	36	4	21	18	17	18	58	10	38	1977	4907	5921	6001	3397	4515	3394	3612	2214	3179	3393	3808
ML_TR1_6_S183_L004_1461	0	0	0	0	0	1	0	0	2	0	0	0	3	1	2	2	2	3	2	1	1	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2289	6089	7015	5547	2545	7425	6503	5966	1974	6008	4465	5038
ML_TR1_6_S183_L004_1472	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	1	0	0	12	24	22	26	2433	3988	4448	5144	3340	6267	3934	2953	2225	3979	3446	2873
