"","AN_TR1_4","AN_TR1_5","AN_TR1_6","AN_TR1_8","AN_TR2_4","AN_TR2_5","AN_TR2_6","AN_TR2_8","AN_TR3_4","AN_TR3_5","AN_TR3_6","AN_TR3_8","BB_TR1_4","BB_TR1_5","BB_TR1_6","BB_TR1_8","BB_TR2_4","BB_TR2_5","BB_TR2_6","BB_TR2_8","BB_TR3_4","BB_TR3_5","BB_TR3_6","BB_TR3_8","ML_TR1_4","ML_TR1_5","ML_TR1_6","ML_TR1_8","ML_TR2_4","ML_TR2_5","ML_TR2_6","ML_TR2_8","ML_TR3_4","ML_TR3_5","ML_TR3_6","ML_TR3_8"
"BB_TR3_5_S178_L004_761",0,0,0,0,0,0,0,0,0,0,0,0,18.4464394681282,12.0597486417325,12.2119906890927,15.6118318041406,5.03254822091028,10.1656799148636,11.8880113467084,7.0604329215438,12.0015424362623,6.58280239492418,14.4140236269776,13.3355993351748,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_801",0,0,0,0,0,0,0,0,0,0,0,0,4.6508734795515,6.46290746609822,5.28409240122602,3.73647040104074,3.72414732964397,3.80775521969898,8.58627617040719,6.86206298741786,5.9446501113168,4.84776363211714,4.91960052126733,2.9220313811218,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_809",0,0,0,0,0,0,0,0,0,0,0,0,2.18816930035611,4.3458028921144,6.81610357553034,4.09255623883458,0,3.25553891799816,3.6934264029624,1.85058817243766,1.6125436007839,3.49972555928291,3.47137564223732,6.10363867083925,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_813",0,0,0,0,0,0,0,0,0,0,0,0,7.15879623562613,5.09480940024022,6.37670478964495,11.912976723437,5.73418728486678,7.81665991128623,6.23921461153006,4.52310428825373,4.59859640564698,3.64467735068855,5.22610480830403,5.47221530966368,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_852",0,0,0,0,0,0,0,0,0,0,0,0,52.5996311282519,53.5646767536975,73.9732061147022,60.4411205608506,58.2843432110727,50.4328722396526,56.7676698610276,47.3823886082608,56.3430027950193,37.9879344000993,53.5229126190894,45.3487984404584,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_854",0,0,0,0,0,0,0,0,0,0,0,0,4.76286993520557,4.38818677702717,7.16698188706839,5.29377341552808,2.89864116142897,4.55115197111888,6.48192228034249,4.65397076735744,5.141035832375,8.46213199092649,4.03302209889505,4.40855740745969,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_867",0,0,0,0,0,0,0,0,0,0,0,0,10.2724672697837,9.25320580719991,9.45635167180486,7.63206111009228,6.74498850296535,7.65824262794121,11.2470169215429,8.02937870522186,8.17168907683705,5.8733353398601,7.55580192279589,6.94525154718017,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_908",0,0,0,0,0,0,0,0,0,0,0,0,6.025672522627,5.44537650102668,5.33731649574673,2.30390049928768,3.94260623556082,4.99722488945572,10.5426534153567,8.05717974377656,6.96271741449362,5.22210812881018,6.01225935982971,4.30568717876354,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_987",0,0,0,0,0,0,0,0,0,0,0,0,6.02567062448923,5.30096968124137,6.11926568690266,2.26125871377524,3.8287872957666,4.80522841120337,8.04324010558408,7.7382546344622,4.34306632046577,5.79721149036719,4.41221330795627,4.10117391655758,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_993",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55301561009302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_5_S178_L004_998",0,0,0,0,0,0,0,0,0,0,0,0,6.23308760480752,6.73912982669362,6.24038944218667,6.04019624652499,4.50256089645474,6.50252682513706,8.79964713178632,8.16274071113095,5.58959248074671,6.05879384700457,4.94570522002285,4.83348697385316,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_1064",0,0,0,0,0,0,0,0,0,0,0,0,5.94228353404226,12.6166123269424,13.6717566872057,7.04658734312136,7.84382764244613,7.69793534443255,8.44084567114271,10.4921375955081,7.20485625464411,8.60105673545281,11.2963306673066,7.03884026540862,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_1067",0,0,0,0,0,0,0,0,0,0,0,0,11.1044008083011,10.0785412893471,10.1764306934129,8.87142944974429,8.23332078787781,9.38024687457507,11.844180148812,8.67593677003391,8.40870862867413,6.97960761613251,7.8259009792414,7.70916432000536,0,0,0,0,0,0,0,0,0,0,0,0
"BB_TR3_6_S179_L004_1109",0,0,0,0,0,0,0,0,0,0,0,0,16.0725056246427,13.843814358052,13.3771697716074,10.2835707971021,8.18591299356668,12.4076502704744,17.2437018024341,14.7730783198317,16.5778972465303,11.8643134486079,11.0480538153728,10.3172207030274,0,0,0,0,0,0,0,0,0,0,0,0
